,pr_gene_symbol,coefficient
994,CDC25B,0.002659516127826075
2048,EPHB2,0.0015382919877116865
1111,CHEK1,-0.003999923366673625
5154,PDGFA,0.005843371991965568
2920,CXCL2,0.0015048946314503214
3122,HLA-DRA,6.929264943890446e-05
2769,GNA15,0.0021616841079561706
5900,RALGDS,0.003321433836608033
6304,SATB1,-0.000945569101832644
5211,PFKL,-0.004187874316670335
2886,GRB7,-0.0005904591329081862
9261,MAPKAPK2,-0.0014644669009387617
8569,MKNK1,0.005090478551535071
3303,HSPA1A,-0.004236094177072316
5331,PLCB3,0.0003316240654251272
5347,PLK1,0.0006734409486933272
4638,MYLK,0.0011028996944407576
2264,FGFR4,0.0022575454570742917
1029,CDKN2A,0.0011018530431474282
1027,CDKN1B,-0.0004347165593977513
2597,GAPDH,0.00017544002993435045
55847,CISD1,0.0009136039737932518
25803,SPDEF,0.0016263389646493716
3480,IGF1R,-0.002183077874356743
2946,GSTM2,0.0008561368339357459
9517,SPTLC2,-0.0023815178326798132
25987,TSKU,0.0004400913072168885
23670,TMEM2,-0.004448674996040768
11182,SLC2A6,0.0011082803153042915
2146,EZH2,0.00664451773983559
3385,ICAM3,0.0019461125893464493
5261,PHKG2,-0.00019927541510499186
10765,KDM5B,0.0001880931026777574
25839,COG4,-0.0035372400663102044
4172,MCM3,-0.002491582369145591
23161,SNX13,-0.006800183283916253
10298,PAK4,-0.010500268264555494
1802,DPH2,0.006180622965041419
58533,SNX6,-0.003584006631201343
147179,WIPF2,0.0053966255591621015
29937,NENF,-0.008188851466353906
6184,RPN1,0.009785499886578477
9854,C2CD2L,-0.005765413635665528
2553,GABPB1,0.0021556687057337886
5440,POLR2K,-0.008135878682844096
54623,PAF1,-0.0006017900879332504
9533,POLR1C,0.002802784754569588
8607,RUVBL1,-0.0007108576820245037
207,AKT1,0.006704114337207313
26054,SENP6,-0.0020190692145102135
10682,EBP,0.002036867268309044
8573,CASK,0.00961598472306032
23378,RRP8,0.0018739179631118996
8553,BHLHE40,0.007303211272257697
622,BDH1,0.00020512819078769294
9467,SH3BP5,0.008305556511935664
5525,PPP2R5A,-0.002725002673718693
256364,EML3,-0.0032757848429874306
332,BIRC5,-0.00637270366602725
2058,EPRS,0.01130887316937935
7849,PAX8,-0.005352612469436382
23244,PDS5A,0.00018038256014164502
7494,XBP1,-0.001601836641030409
4836,NMT1,-0.0010119198067563924
23647,ARFIP2,-0.002835625722157773
10617,STAMBP,-0.004608480443328743
2184,FAH,-0.002639723414984966
5355,PLP2,-0.007182795724631391
6659,SOX4,-0.003847205218211897
7016,TESK1,-0.005015997151783036
90861,HN1L,-0.0082559020096652
10670,RRAGA,0.003868392905860417
79071,ELOVL6,-0.002480188162450439
64746,ACBD3,-0.008121571237639031
5366,PMAIP1,0.0013495420759171363
11344,TWF2,-6.6840079190268055e-06
10013,HDAC6,-0.010472593887073276
5829,PXN,-0.0018641379794226468
5257,PHKB,0.002455850439662501
22794,CASC3,-0.0028070153225066238
9761,MLEC,0.006709670053587923
23326,USP22,0.003150360192253246
10972,TMED10,-0.003041832675719287
10523,CHERP,-0.002016568936476379
79090,TRAPPC6A,-0.012787636265755317
27032,ATP2C1,-0.002226272401811728
9097,USP14,-0.00599053290655142
10513,APPBP2,0.006259475490391405
1891,ECH1,0.0018164355191879848
3066,HDAC2,0.001759494835819082
9801,MRPL19,0.0033663711534612714
1459,CSNK2A2,-0.007079794394375279
9703,KIAA0100,0.0033502422661381348
10606,PAICS,0.002377483816931002
1017,CDK2,0.005060756691496872
9813,EFCAB14,-0.002710806930543121
7485,WRB,-0.0014184804882907763
2109,ETFB,-0.006907947373768783
23271,CAMSAP2,0.0114414670262841
9915,ARNT2,-0.01229064938259896
9552,SPAG7,0.003831071017783005
93487,MAPK1IP1L,0.001187375390404244
2956,MSH6,-0.00284368913556351
11065,UBE2C,0.004159203002356481
9653,HS2ST1,-0.0044829787876688905
200081,TXLNA,0.010904023004834059
3337,DNAJB1,0.0012751045708126007
11073,TOPBP1,-0.0014211699120134681
23,ABCF1,-0.0027010642454425205
5641,LGMN,0.006894226982679842
8720,MBTPS1,-0.005730958133553502
10782,ZNF274,0.0005382318680488649
25932,CLIC4,0.0019478631514562093
3028,HSD17B10,0.004024401390666402
6804,STX1A,-0.003974111710137698
890,CCNA2,0.007059211642560226
6390,SDHB,0.01146557524184745
4303,FOXO4,0.0008957291570409429
10953,TOMM34,-0.0011879278670702963
22889,KIAA0907,0.00601488226272737
3098,HK1,-0.00478744127893433
11044,PAPD7,0.0021632006360592943
8985,PLOD3,0.0027937754005055437
66008,TRAK2,-0.004662736120269269
9217,VAPB,0.006425011871579703
701,BUB1B,-0.007543904112001046
6182,MRPL12,0.01185344523232086
4860,PNP,0.00240178525401184
7398,USP1,-0.0007052982488125692
6117,RPA1,-0.001340028457446476
23588,KLHDC2,-0.0034631274710587843
949,SCARB1,0.0059118573379679535
7168,TPM1,0.0036797580552177037
9375,TM9SF2,0.0006822994495186593
4927,NUP88,0.006383885452280865
2523,FUT1,-0.004369986599235324
58497,PRUNE,0.011096538407414312
6856,SYPL1,-0.005137220945833715
26036,ZNF451,-0.0012540483463853482
10206,TRIM13,-0.0028314169964843254
25793,FBXO7,-0.003854200469655665
55556,ENOSF1,-0.006670677476608244
3978,LIG1,-0.0016682702777067757
10681,GNB5,0.004080487382577106
3638,INSIG1,0.00035095227497030366
8349,HIST2H2BE,0.007272457087768825
6275,S100A4,-0.0014072719567143662
3895,KTN1,-0.001239928099414984
392,ARHGAP1,0.000498913525969863
9170,LPAR2,0.0019469777104584
80347,COASY,0.0016602883968684225
23300,ATMIN,0.0004171341130937175
836,CASP3,0.0075634644067895706
11188,NISCH,0.0073615638764902526
10898,CPSF4,-0.005820872144783783
9276,COPB2,-0.000606768611562418
1647,GADD45A,-0.006413770847747203
10285,SMNDC1,0.008018824329282054
23386,NUDCD3,0.0007380769672173342
3156,HMGCR,-0.0022976148762947754
10237,SLC35B1,0.00028166779157649146
7077,TIMP2,0.003047015058382324
11157,LSM6,0.0010319524699767396
22908,SACM1L,0.0032466396817911708
10915,TCERG1,-0.0018640929106965042
