	pert_id	pert_iname	inchi_key_prefix	inchi_key	canonical_smiles	pubchem_cid
4218	BRD-K14768863	BRD-K14768863	QFAVGRCFIOJHOR	QFAVGRCFIOJHOR-FGTMMUONSA-N	OC[C@H]1O[C@@H](CC(=O)NCc2ccc(Cl)cc2)CC[C@@H]1NC(=O)CC1CC1	54638824
4219	BRD-K14781269	BRD-K14781269	NIQNUTWSSZLHED	NIQNUTWSSZLHED-PWTWFPBBSA-N	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O	54616742
4220	BRD-K14783598	BRD-K14783598	WPYCDOIBOMHXCH	WPYCDOIBOMHXCH-LJQANCHMSA-N	COc1ccc2c3c([C@@H](CO)NC[C@]33CN(Cc4ccccc4Cl)C3)n(C)c2c1	60185207
4221	BRD-K14787141	BRD-K14787141	CZIWFSLKGNKQEK	CZIWFSLKGNKQEK-NZJKTDFXSA-N	COc1ccccc1CN1CC[C@@H]2[C@H]1c1cc(ccc1N[C@@H]2CO)C1=CCCCC1	54664994
4222	BRD-K14788918	BRD-K14788918	YNILLUHNRZOTAV	YNILLUHNRZOTAV-UHFFFAOYSA-N	Oc1ccc(CCc2c(F)cccc2F)c2cccnc12	53338822
4223	BRD-K14790374	BRD-K14790374	RKZHAKBSCCRTSX	RKZHAKBSCCRTSX-RXUISWLBSA-N	COc1ccc(C#Cc2ccc3NC(=O)[C@@]4([C@H]([C@H]5N([C@H]4c6ccc(OCCO)cc6)[C@@H]([C@@H](OC5=O)c7ccccc7)c8ccccc8)C(=O)N9CCc%10cc(OC)c(OC)cc%10C9)c3c2)cc1	6729038
4224	BRD-K14791739	fluticasone	WMWTYOKRWGGJOA	WMWTYOKRWGGJOA-GFDKJMNNSA-N	CCC(=O)O[C@]1([C@H](C)C[C@@H]2[C@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@@]12C)C(=O)SCF	73707412
4225	BRD-K14799717	BRD-K14799717	RCXZWUYRMIXVKB	RCXZWUYRMIXVKB-UMEGOILYSA-N	CC(C)NC(=O)Nc1ccc2O[C@H](CN(C)C(=O)NC3CCCCC3)[C@H](C)CN([C@H](C)CO)C(=O)Cc2c1	44500754
4226	BRD-K14801883	BRD-K14801883	HSZCUBFTTZDVGX	HSZCUBFTTZDVGX-UYPAYLBCSA-N	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)C4CC4)cc3CC1=O	44486893
4227	BRD-K14807180	SB-221284	OQZOXHCRSXYSPM	OQZOXHCRSXYSPM-UHFFFAOYSA-N	CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F	443389
4228	BRD-K14821540	FCCP	BMZRVOVNUMQTIN	BMZRVOVNUMQTIN-UHFFFAOYSA-N	FC(F)(F)Oc1ccc(NN=C(C#N)C#N)cc1	3330
4229	BRD-K14821965	propidium	ZDWVWKDAWBGPDN	ZDWVWKDAWBGPDN-UHFFFAOYSA-O	CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc12	24871268
4230	BRD-K14833463	BRD-K14833463	GNLIZSFOCYRQDY	GNLIZSFOCYRQDY-RYTUXRKISA-N	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O	44488849
4231	BRD-K14842454	BRD-K14842454	VMSMDDNIQBHEBW	VMSMDDNIQBHEBW-WOJGMQOQSA-N	CC(=O)Nc1ccc(cc1)/C(=N/NC(=O)C2CCCC2)/C	46948707
4232	BRD-K14842933	BRD-K14842933	GMPJODBFNFLBBI	GMPJODBFNFLBBI-YNCKODKJSA-N	C\C=C\c1ccc(cc1)[C@@H]1[C@@H](CO)N2[C@H]1CN(CC2=O)S(=O)(=O)c1ccccc1	60189625
4233	BRD-K14844214	BRD-K14844214	ALBVOUUIQWHTKA	ALBVOUUIQWHTKA-REHUZNOOSA-N	CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	54618305
4234	BRD-K14844937	BRD-K14844937	GADIKQPUNWAMEB	GADIKQPUNWAMEB-UHFFFAOYSA-N	CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC	104999
4235	BRD-K14850613	BRD-K14850613	JVNQANUBSNFBGV	JVNQANUBSNFBGV-VHSZZVNMSA-N	COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@H]2C)[C@@H](C)CO)cc1	54618836
4236	BRD-K14854082	BRD-K14854082	JDHZCDHPHAWVKT	JDHZCDHPHAWVKT-LUKYLMHMSA-N	CN(C)C(=O)C[C@@H]1CC[C@H]2[C@@H](COC[C@@H](O)CN2C(=O)c2ccncc2)O1	54657948
4237	BRD-K14862006	BRD-K14862006	VOOHCFNIWPJMMM	VOOHCFNIWPJMMM-LMNJBCLMSA-N	CN1[C@H]2CC[C@H](CC(=O)NC3CCCCC3)O[C@H]2COc2ccc(NS(C)(=O)=O)cc2C1=O	54654506
4238	BRD-K14868367	SA-97259	FVBMANNWVHBCBY	FVBMANNWVHBCBY-LGVUCKNBSA-N	COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2Oc3c(NC(=O)Nc4ccccc4)cccc3C(=O)N(C[C@H]2C)[C@H](C)CO	44500706
4239	BRD-K14875361	BRD-K14875361	PGWILGQCTOMTBZ	PGWILGQCTOMTBZ-MWXNICTNSA-N	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)Cc5ccccc5)cc4C1=O	44484708
4240	BRD-K14880289	GW-501516	YDBLKRPLXZNVNB	YDBLKRPLXZNVNB-UHFFFAOYSA-N	Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(cc1)C(F)(F)F	9803963
4241	BRD-K14886982	BRD-K14886982	VMOCTUISBGPURH	VMOCTUISBGPURH-KEVKATSASA-N	O[C@H]1COC[C@H]2O[C@H](CC(=O)N3CCOCC3)CC[C@@H]2N(Cc2cccc(c2)-c2ccncc2)C1	54657584
4242	BRD-K14888893	minoxidil	ZIMGGGWCDYVHOY	ZFMITUMMTDLWHR-UHFFFAOYSA-N	Nc1cc(nc(N)[n+]1[O-])N2CCCCC2	4201
4243	BRD-K14889526	BRD-K14889526	HISLUEZGKSFRIL	HISLUEZGKSFRIL-QHCPKHFHSA-N	CCS(=O)(=O)N1Cc2cc(nc(c2[C@@H]1CCO)-c1cccc(c1)-c1ccncc1)C(=O)NCCOC	53299819
4244	BRD-K14914284	BRD-K14914284	ZFIWZVVHNRUILB	ZFIWZVVHNRUILB-UHFFFAOYSA-N	CSc1ccc(cc1)-c1cnc(s1)N1CCC(CC1)C(N)=O	46907676
4245	BRD-K14920963	erythrosine	LAINPTZBIXYTIZ	LAINPTZBIXYTIZ-UHFFFAOYSA-N	OC(=O)c1ccccc1-c1c2cc(I)c(O)c(I)c2oc2c(I)c(=O)c(I)cc12	-666
4246	BRD-K14939371	BRD-K14939371	CVOBEMOTLSOHCL	CVOBEMOTLSOHCL-UHFFFAOYSA-N	CC(=O)Nc1sc2CN(CCc2c1-c1nc2ccccc2s1)C(C)=O	53338846
4247	BRD-K14945759	KU-C104127	CKRADAOJYXHLJA	CKRADAOJYXHLJA-UHFFFAOYSA-N	Brc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	44602376
